Customer_ID,Age,Gender,Marital_Status,Education,Employment_Type,Annual_Income,Loan_Amount,Loan_Term,Credit_Score,Existing_Loan,Property_Area,State,Loan_Purpose,Loan_Status,Default_Status,Interest_Rate,EMI
CUST00001,41,Male,Married,Non-Graduate,Salaried,1878050,818747,36,552,No,Semiurban,Delhi,Home,Approved,No,14.42,32581.58
CUST00002,53,Male,Married,Graduate,Salaried,1021106,274695,240,798,Yes,Urban,Tamil Nadu,Education,Approved,No,10.62,3575.61
CUST00003,58,Male,Married,Graduate,Salaried,1415502,934315,36,720,Yes,Rural,Punjab,Car,Approved,No,7.92,32119.67
CUST00004,35,Female,Single,Graduate,Self-Employed,1819135,1394476,12,556,No,Rural,Delhi,Home,Rejected,Yes,7.55,124979.91
CUST00005,35,Female,Married,Non-Graduate,Salaried,1060120,1151844,24,521,Yes,Rural,Rajasthan,Education,Rejected,No,7.46,55154.13
CUST00006,45,Male,Married,Non-Graduate,Self-Employed,631734,1531006,84,638,No,Rural,Rajasthan,Home,Approved,No,10.42,31520.5
CUST00007,41,Male,Married,Non-Graduate,Self-Employed,1621796,1311519,360,470,No,Urban,Tamil Nadu,Home,Approved,No,10.04,14616.15
CUST00008,44,Male,Married,Non-Graduate,Salaried,865627,1881780,24,552,No,Rural,Uttar Pradesh,Education,Rejected,No,13.46,99514.8
CUST00009,25,Male,Married,Graduate,Self-Employed,421897,1520394,84,571,Yes,Urban,Maharashtra,Car,Approved,No,13.69,35445.09
CUST00010,26,Male,Single,Non-Graduate,Salaried,201062,758691,12,664,Yes,Rural,Rajasthan,Education,Approved,No,7.46,67940.78
CUST00011,43,Male,Married,Non-Graduate,Self-Employed,1496312,623189,12,780,No,Urban,Karnataka,Business,Approved,No,8.99,56601.14
CUST00012,24,Female,Married,Graduate,Self-Employed,1823312,1460706,60,537,Yes,Urban,Maharashtra,Business,Approved,No,9.47,35872.5
CUST00013,47,Female,Single,Graduate,Salaried,295462,1293064,360,822,No,Rural,Gujarat,Education,Approved,No,11.93,16447.06
CUST00014,38,Female,Married,Non-Graduate,Self-Employed,1648021,1786132,240,549,Yes,Rural,Rajasthan,Car,Approved,Yes,8.3,19796.3
